20160214	201606	Sun	43271933
20160215	201607	Mon	43849688
20160216	201607	Tue	44276770
20160217	201607	Wed	44819289
20160219	201607	Fri	44190928
20160221	201607	Sun	46551557
20160222	201608	Mon	43477346
20160223	201608	Tue	45188957
20160224	201608	Wed	44567973
20160225	201608	Thu	44699149
20160226	201608	Fri	43650183
20160227	201608	Sat	45116368
20160228	201608	Sun	46840558
20160229	201609	Mon	42635383
20160301	201609	Tue	43665024
20160302	201609	Wed	43088881
20160303	201609	Thu	43265928
20160304	201609	Fri	42910754
20160305	201609	Sat	45252149
20160306	201609	Sun	45898696
20160307	201610	Mon	42215822
20160308	201610	Tue	43230686
20160309	201610	Wed	42645682
20160310	201610	Thu	41245938
20160311	201610	Fri	41705877
20160312	201610	Sat	44491317
20160313	201610	Sun	45169038
20160314	201611	Mon	40926715
20160315	201611	Tue	41000527
20160316	201611	Wed	41806564
20160317	201611	Thu	42370542
20160318	201611	Fri	41285848
20160319	201611	Sat	43331945
20160320	201611	Sun	44441490
20160321	201612	Mon	41065091
20160322	201612	Tue	41662538
20160323	201612	Wed	41299639
20160324	201612	Thu	40444582
20160325	201612	Fri	40089327
20160326	201612	Sat	41193404
20160327	201612	Sun	42029955
20160328	201613	Mon	39481485
20160329	201613	Tue	40748723
20160330	201613	Wed	40415754
20160331	201613	Thu	40215807
20160401	201613	Fri	40300817
20160402	201613	Sat	42656888
20160404	201614	Mon	43097199
20160403	201613	Sun	42204394
20160405	201614	Tue	41154604
20160406	201614	Wed	43881395
20160407	201614	Thu	41548182
20160408	201614	Fri	40618307
20160409	201614	Sat	43640911
20160410	201614	Sun	44903974
20160411	201615	Mon	40833801
20160412	201615	Tue	41876999
20160413	201615	Wed	40492359
20160414	201615	Thu	40106344
20160415	201615	Fri	41522579
20160416	201615	Sat	44554938
20160417	201615	Sun	44465192
20160418	201616	Mon	39104971
20160420	201616	Wed	44751270
20160421	201616	Thu	40610207
20160422	201616	Fri	40151196
20160423	201616	Sat	43161847
20160424	201616	Sun	43982676
20160425	201617	Mon	39782068
20160426	201617	Tue	40421772
20160427	201617	Wed	39592333
20160428	201617	Thu	38955690
20160429	201617	Fri	39201100
20160430	201617	Sat	40016022
20160501	201617	Sun	39303106
20160502	201618	Mon	42952005
20160503	201618	Tue	40332359
20160504	201618	Wed	39561082
20160505	201618	Thu	39765646
20160506	201618	Fri	38874280
20160507	201618	Sat	41443700
20160508	201618	Sun	42280053
20160509	201619	Mon	39541625
20160510	201619	Tue	39233397
20160511	201619	Wed	39623915
20160512	201619	Thu	39836474
20160513	201619	Fri	40820476
20160515	201619	Sun	43865140
20160514	201619	Sat	43714593
20160516	201620	Mon	38887699
20160517	201620	Tue	38867181
20160518	201620	Wed	38925704
20160519	201620	Thu	40142835
20160520	201620	Fri	39508714
20160521	201620	Sat	42583186
20160522	201620	Sun	43181703
20160523	201621	Mon	40622742
20160524	201621	Tue	40031102
20160525	201621	Wed	39414149
20160526	201621	Thu	40231299
20160527	201621	Fri	42229073
20160528	201621	Sat	38840246
20160529	201621	Sun	39835306
20160530	201622	Mon	34441090
20160531	201622	Tue	37792999
20160601	201622	Wed	37664587
20160602	201622	Thu	40021589
20160603	201622	Fri	40002473
20160604	201622	Sat	40420491
20160605	201622	Sun	43475424
20160606	201623	Mon	39521558
20160609	201623	Thu	39584926
20160610	201623	Fri	39750316
20160611	201623	Sat	40750690
20160612	201623	Sun	40084119
20160613	201624	Mon	38846402
20160614	201624	Tue	40769978
20160619	201624	Sun	37530402
20160615	201624	Wed	39002951
20160616	201624	Thu	38052453
20160617	201624	Fri	37362389
20160618	201624	Sat	39813634
20160620	201625	Mon	39244620
20160621	201625	Tue	34749211
20160623	201625	Thu	38950065
20160624	201625	Fri	38139392
20160626	201625	Sun	44533494
20160625	201625	Sat	41748945
20160627	201626	Mon	39656534
20160628	201626	Tue	39729717
